Machine ,"Reason
Remarks",Date Label,"Attended
By","Duration
Log >> Close/Now",Production or Process Defect?
46,3,0,7,6,1
37,1,0,8,15,0
48,4,0,10,29,1
49,0,0,10,7,0
52,1,0,10,22,0
12,0,0,25,15,0
33,4,0,8,9,1
34,1,0,8,5,0
7,0,0,16,50,0
46,1,1,7,11,0
32,1,1,8,23,0
46,3,1,7,10,1
28,1,1,8,17,0
16,0,0,4,24,0
6,0,0,19,7,0
29,0,0,19,13,0
41,1,0,23,5,0
42,0,0,23,7,0
34,0,0,19,29,0
51,0,0,24,10,0
56,0,0,24,7,0
49,4,0,24,7,1
34,4,0,19,10,1
46,1,0,23,10,0
34,0,0,19,19,0
40,4,0,23,13,1
22,1,0,4,37,0
34,0,0,23,13,0
62,1,0,24,9,0
34,4,0,23,12,1
5,0,0,4,8,0
11,0,0,4,25,0
31,3,0,24,8,1
2,0,0,4,55,0
52,0,0,24,50,0
64,3,0,20,17,1
62,3,0,24,13,1
32,0,0,23,17,0
21,1,0,23,26,0
52,0,0,23,39,0
3,4,1,4,35,1
60,1,1,1,11,0
60,3,1,20,12,1
30,1,1,19,13,0
52,3,1,24,10,1
43,0,1,24,6,0
43,1,1,23,14,0
15,0,1,24,31,0
29,0,1,23,7,0
31,0,1,19,7,0
46,0,1,23,7,0
8,0,1,23,11,0
21,1,1,23,16,0
48,3,1,24,6,1
35,0,1,19,32,0
60,0,1,20,17,0
2,0,1,4,42,0
69,4,1,20,16,1
56,3,2,24,5,1
2,3,2,4,11,1
57,0,2,10,17,0
51,0,2,10,8,0
57,0,2,7,53,0
48,3,2,8,6,1
32,0,2,8,24,0
62,0,3,10,34,0
34,4,3,7,27,1
55,0,3,10,29,0
43,3,3,7,12,1
35,4,3,8,6,1
62,0,3,10,23,0
26,3,3,8,4,1
23,3,3,6,14,1
25,1,3,8,12,0
65,0,3,7,9,0
35,4,3,8,16,1
62,0,0,10,10,0
6,3,0,19,15,1
45,0,0,24,5,0
52,3,0,24,21,1
14,0,0,4,8,0
44,4,0,23,22,1
54,1,0,19,22,0
20,0,0,19,15,0
36,1,0,23,15,0
44,4,0,23,10,1
5,0,0,4,31,0
38,1,0,23,9,0
40,1,0,23,12,0
48,1,0,24,8,0
29,0,0,19,7,0
39,3,0,24,8,1
8,0,0,19,11,0
43,0,0,23,8,0
52,0,0,24,6,0
7,0,0,24,7,0
4,1,1,4,34,0
58,1,1,24,31,0
21,1,1,4,16,0
2,0,1,20,16,0
52,0,1,24,15,0
44,4,1,24,6,1
12,3,1,4,17,1
13,4,1,4,5,1
12,0,1,4,8,0
31,4,1,23,18,1
61,0,1,24,7,0
31,0,1,23,23,0
55,3,1,24,3,1
69,0,1,20,21,0
44,4,1,24,15,1
35,4,1,23,9,1
3,0,1,4,11,0
45,0,1,23,30,0
3,0,1,20,9,0
68,1,1,20,28,0
48,4,1,24,6,1
61,0,2,20,17,0
58,1,2,11,10,0
27,0,2,13,45,0
